caseid,v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d104,d106,d107,d108,d113,d121,d129,ipv,vio
     0001015 01,3,9,1,1,2,6,1,0,1,2,26,0,2,2,4,1,0,1, ,8,0,0,0,0,1,5, , ,21,3, ,2,53,1,35, , , , , ,0,0,0,0,0,0,0,1, ,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0001033 02,3,9,1,2,2,6,5,2,2,1,27,0,2,2,4,2,0,2, ,3,0,0,0,0,1,1,1,0,20,4,3,2,39,1,91,28,1,4,4,4,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,2,NaN
     0002012 02,4,9,1,2,2,6,2,0,2,1,30,1,2,0,4,1,0,1, ,3,0,0,0,0,1,1,1,0,25,4,3,2,91,1,91,30,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,NaN
     0002051 02,2,9,1,1,2,6,4,2,2,1,33,0,2,0,4,2,0,2, ,11,0,0,0,0,1,1,1,0,19,4,1,1,72,0,0,33,4,4,4,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,NaN
     0002076 01,5,9,1,1,2,6,6,1,1,2,35,0,2,1,4,5,0,5, ,0,0,0,0,0,1,5, , ,16,4, ,2,91,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,1,1,0,0,1,1,1,1,1,1,0,0,4,NaN
     0003047 02,2,9,1,1,1,5,4,1,2,1,34,1,2,2,5,2,0,2, ,11,0,0,0,0,1,1,1,0,17,4,1,2,51,1,77,34,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0003064 02,5,9,1,1,1,6,4,0,2,1,45,0,2,2,4,2,0,2, ,0,0,0,0,0,1,2,1,0,17,2,8,2,31,0,0,45,4,4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN
     0003080 02,4,9,1,1,2,6,5,0,2,1,38,0,2,2,4,3,0,3, ,1,0,0,0,0,1,2,1,0,16,3,1,1,53,1,52,38,4,4,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NaN
     0004025 02,5,9,1,1,2,4,6,0,2,1,38,0,2,2,4,3,0,3, ,11,0,0,0,0,1,1,1,0,19,4,1,1,75,1,91,38,4,2,2, ,1,1,1,1,1,2,2,1,1,0,1,1,1,0,1,0,0,0,1,0,0,2,1,NaN
     0004037 01,6,9,1,2,2,4,4,0,1,2,40,2,2,2,5,3,0,3, ,0,0,0,0,0,1,5, , ,19,3, ,2,75,1,25, , , , , ,0,0,0,0,0,1,0,1, ,0,1,1,0,0,1,1,1,0,1,1,1,2,3,NaN
     0004074 02,2,9,1,2,2,6,3,1,2,1,27,0,1,1,4,1,0,1, ,3,0,0,0,0,1,1,1,0,19,2,1,2,88,0,0,27,4,2,2,2,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0005011 02,3,9,1,2,1,9,2,0,2,1,32,0,2,2,3,3,0,2, ,0,1,0,0,0,0,1,1,0,15,3,1,1,71,1,91,32,2,2,4,2,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,NaN
     0006062 02,3,9,1,3,2,6,3,1,2,1,32,1,2,2,5,2,0,1, ,11,0,0,0,0,1,2,1,0,24,2,1,3,31,1,41,32,2,2,2,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,NaN
     0006084 02,2,9,1,1,2,4,3,1,2,1,30,0,2,2,5,1,1,1,2,0,0,0,0,0,1,2,1,0,18,3,2,2,76,0,0,30,1,2,2,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,8,0,1,NaN
     0008021 02,2,9,1,1,2,6,3,1,2,1,28,2,2,2,5,2,0,2, ,0,0,0,0,0,1,1,1,0,21,3,1,2,91,0,0,28,1,1,4,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,NaN
     0008042 02,6,9,1,1,2,6,2,0,2,1,50,0,2,0,4,2,0,1, ,0,0,0,0,0,1,1,1,1,14,2,8,8,91,1,53, ,1,1,2,4,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0008125 02,5,9,1,2,1,7,7,1,2,1,40,0,2,1,4,5,0,5, ,3,0,0,0,0,1,1,1,0,21,5,8,2,91,1,37,40,2,4,2,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,2,NaN
     0009052 02,4,9,1,0,2,4,4,1,2,1,35,0,1,1,4,2,0,2, ,11,0,0,0,0,1,1,1,0,18,3,8,2,91,0,0,35,1,1,2,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,NaN
     0009070 02,7,9,1,2,2,6,4,1,2,1,50,0,2,2,4,2,0,2, ,0,0,0,0,0,1,1,1,1,31,4,2,1,91,1,91,53,1,4,2,4,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0009088 01,5,9,1,1,2,6,5,0,1,2,39,2,2,2,3,4,0,4, ,3,0,0,0,0,1,4, , ,18,4, ,1,63,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,1,1,1,1,1,1,1,1,1,0,1,1,4,NaN
     0009107 02,5,9,1,1,2,6,3,1,2,1,35,0,2,2,2,3,0,2, ,0,0,0,0,0,1,1,1,98,25,4,1,2,39,1,91,35,2,4,2,4,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,2,3,NaN
     0010043 02,3,9,1,1,2,3,2,0,2,1,29,0,1,1,4,0,1,0,1,0,0,0,0,0,1,1,1,0,26,3,3,2,53,1,61,29,4,1,1,4,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,3,NaN
     0010064 02,3,9,1,1,1,4,3,1,2,1,34,0,2,2,4,2,1,2,2,0,0,0,0,0,1,1,1,0,19,3,1,1,71,0,91,34,4,1,1,4,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,3,NaN
     0010108 01,2,9,1,1,2,4,5,2,1,2,26,1,1,1,4,2,0,1, ,0,0,0,0,0,1,5, , ,16,4, ,2,75,1,91, , , , , ,0,1,0,0,0,0,0,1, ,0,1,1,1,1,1,1,1,1,0,1,0,2,3,NaN
     0010129 02,2,9,1,1,2,3,3,1,2,1,25,1,2,2,4,1,0,1, ,3,0,0,0,0,1,1,1,0,17,2,1,2,39,1,91,25,4,4,4,4,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,8,0,0,NaN
     0011076 02,6,9,1,3,2,4,5,0,2,1,44,2,2,2,5,3,0,3, ,6,0,0,0,0,1,1,1,0,24,6, ,3,28,1,39,44,4,2,2,2,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,NaN
     0012011 01,5,9,1,2,1,7,5,0,1,2,34,1,2,2,5,3,0,3, ,3,0,0,0,0,1,5, , ,14,4, ,1,76,1,41, , , , , ,0,1,0,0,0,0,0,1, ,0,1,1,0,0,0,0,1,0,0,0,0,1,1,NaN
     0012041 02,1,9,1,1,2,6,2,0,2,1,25,0,1,2,4,0,1,0,2,0,0,0,0,0,1,1,1,0,15,1,2,2,71,0,52,25,4,2,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,1,2,2,NaN
     0012061 02,2,9,1,1,1,7,4,2,2,1,30,0,2,2,3,2,0,2, ,5,0,0,0,0,1,1,1,0,17,2,8,2,71,1,91,30,2,4,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NaN
     0014063 02,7,9,1,2,2,4,4,0,2,1,51,0,2,2,5,3,0,3, ,0,0,0,0,0,1,2,1,0,21,3,3,2,91,1,91,51,1,1,1,4,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,NaN
     0015027 02,3,9,1,3,2,4,2,0,2,1,30,0,2,2,5,0,1,0,1,0,0,0,0,0,1,1,1,0,24,2,1,3,87,1,91,29,1,2,2,2,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,8,0,0,NaN
