v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v169a,v171a,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v745c,v745d,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d113,d121,d129,s711a,s711b,ipv
4,4,2,0,4,2,3,1,10,2,60,0,0,0,0,0,2,4,1,4,1,0,0,0,0,0,1,1,1,0,18,4,1,0,63,0,0,42,4,4,4,4,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
4,4,2,0,4,2,7,3,2,1,43,0,0,0,0,0,2,5,0,5,,0,0,0,0,0,1,1,1,0,23,3,2,0,63,0,0,43,4,4,1,4,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
7,4,2,0,4,2,5,0,2,1,55,0,0,0,0,0,1,7,0,7,,0,0,0,0,0,1,1,1,0,13,0,2,0,63,0,0,55,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0
3,4,2,1,4,2,5,1,2,1,35,0,2,0,0,0,3,0,0,0,,0,0,0,0,0,1,1,1,0,21,7,8,0,63,1,52,35,4,2,2,2,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0
3,4,2,1,4,2,4,2,2,1,30,0,2,0,1,0,3,2,0,2,,0,0,0,0,0,1,1,1,0,19,0,1,2,63,1,52,30,2,2,1,2,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,1,0
3,4,2,0,4,2,7,1,2,1,30,0,0,0,1,0,4,3,0,3,,0,0,0,0,0,1,1,1,0,15,11,3,0,63,0,0,30,4,2,2,2,1,1,0,0,1,1,1,0,3,1,1,0,0,0,0,0,1,0,0,0,2,0,0
3,4,2,0,4,2,8,3,2,1,32,0,1,0,1,0,4,7,1,6,1,0,0,0,0,0,1,1,1,0,17,5,2,0,63,1,52,32,2,2,2,2,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,3,0,1
4,4,2,0,4,2,8,1,2,1,36,0,2,1,1,0,2,5,0,5,,0,0,0,0,0,1,1,1,0,20,5,1,0,51,0,0,36,2,2,2,2,1,1,1,0,1,0,1,,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0
6,4,2,0,4,2,8,2,2,1,49,0,0,0,0,0,3,6,0,6,,0,0,0,0,0,1,1,1,0,21,0,1,0,63,0,0,49,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
5,4,2,0,4,2,10,3,2,1,47,0,0,0,0,0,3,8,0,8,,0,0,0,0,0,1,1,1,0,20,4,1,0,63,0,0,47,4,4,4,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
5,4,2,0,4,2,7,2,2,1,42,0,0,0,0,0,1,6,1,5,2,0,0,0,0,0,1,1,1,0,26,6,1,0,63,0,0,42,4,4,4,4,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
2,5,2,1,4,5,3,1,1,2,22,0,0,0,0,0,1,1,0,1,,0,0,0,0,0,1,1,1,0,20,10,2,1,0,0,0,23,4,4,4,4,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,2,2,1,0
4,5,2,0,4,5,8,2,2,1,35,0,0,0,0,0,1,6,0,6,,0,0,0,0,0,1,1,1,1,17,15,2,0,0,0,0,40,4,4,4,4,8,8,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,0
2,5,2,1,4,5,3,1,2,1,35,0,0,0,0,0,1,2,0,1,,0,0,0,0,0,1,1,1,1,18,15,2,1,33,0,0,35,4,4,4,4,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
